FL_DATE,AIRLINE,DOT_CODE,FL_NUMBER,ORIGIN,ORIGIN_CITY,DEST,DEST_CITY,CRS_DEP_TIME,CRS_ARR_TIME,CANCELLED,CRS_ELAPSED_TIME,DISTANCE,ORIGIN_CITY_MAXTEMP_C,ORIGIN_CITY_MINTEMP_C,ORIGIN_CITY_AVGTEMP_C,ORIGIN_CITY_MAXWIND_KPH,ORIGIN_CITY_TOTALPRECIP_MM,ORIGIN_CITY_AVGVIS_KM,ORIGIN_CITY_AVGHUMIDITY,ORIGIN_CITY_TEXT,ORIGIN_CITY_DAILY_CHANCE_OF_RAIN,ORIGIN_CITY_DAILY_CHANCE_OF_SNOW,DEST_CITY_MAXTEMP_C,DEST_CITY_MINTEMP_C,DEST_CITY_AVGTEMP_C,DEST_CITY_MAXWIND_KPH,DEST_CITY_TOTALPRECIP_MM,DEST_CITY_AVGVIS_KM,DEST_CITY_AVGHUMIDITY,DEST_CITY_TEXT,DEST_CITY_DAILY_CHANCE_OF_RAIN,DEST_CITY_DAILY_CHANCE_OF_SNOW
2023-06-28,Delta Air Lines Inc.,19790,1171,MCO,"Orlando, FL",RDU,"Raleigh/Durham, NC",1508,1659,0.0,111.0,534.0,35.3,25.1,29.9,18.0,4.2,9.9,65,Moderate or heavy rain shower,100,0,26.6,21.3,23.1,8.7,3.4,7.6,86,Patchy rain possible,100,0
2023-07-03,Delta Air Lines Inc.,19790,564,JFK,"New York, NY",SEA,"Seattle, WA",1929,2302,0.0,393.0,2422.0,31.6,21.6,25.8,14.2,13.9,9.4,75,Moderate or heavy rain shower,100,0,26.9,11.4,19.4,15.1,0.0,10.0,58,Partly cloudy,0,0
2023-07-17,Allegiant Air,20368,3062,PGD,"Punta Gorda, FL",TYS,"Knoxville, TN",1626,1810,0.0,104.0,624.0,33.5,26.0,29.2,14.7,2.2,9.9,67,Moderate rain at times,100,0,32.7,18.2,25.8,9.7,0.5,9.8,67,Patchy rain possible,100,0
2023-06-26,Delta Air Lines Inc.,19790,2517,ATL,"Atlanta, GA",MYR,"Myrtle Beach, SC",856,1011,0.0,75.0,317.0,31.3,21.5,26.0,19.8,0.7,9.6,74,Patchy rain possible,100,0,29.9,24.0,26.9,26.6,0.2,9.8,75,Patchy rain possible,100,0
2023-06-13,American Airlines Inc.,19805,429,DFW,"Dallas/Fort Worth, TX",DCA,"Washington, DC",659,1059,0.0,180.0,1192.0,33.3,21.8,26.3,18.2,37.65,9.8,68,Moderate or heavy rain shower,100,0,27.2,13.2,20.6,15.1,0.0,10.0,53,Partly cloudy,0,0
2023-06-18,Southwest Airlines Co.,19393,5293,LAS,"Las Vegas, NV",RNO,"Reno, NV",1505,1635,0.0,90.0,345.0,36.7,23.6,30.1,34.6,0.0,10.0,20,Sunny,0,0,25.5,12.6,19.1,31.8,0.0,10.0,37,Sunny,0,0
2023-08-08,American Airlines Inc.,19805,2690,LAS,"Las Vegas, NV",LAX,"Los Angeles, CA",705,822,0.0,77.0,236.0,39.6,22.7,31.2,24.5,0.0,10.0,13,Sunny,0,0,31.4,19.0,23.9,16.6,0.0,10.0,54,Sunny,0,0
2023-08-17,Endeavor Air Inc.,20363,5075,CVG,"Cincinnati, OH",DCA,"Washington, DC",640,812,0.0,92.0,411.0,29.2,16.4,22.7,19.8,1.1,9.9,69,Patchy rain possible,100,0,32.4,20.6,26.4,17.6,0.3,10.0,67,Patchy rain possible,100,0
2023-08-27,Southwest Airlines Co.,19393,858,HOU,"Houston, TX",LAS,"Las Vegas, NV",1345,1445,0.0,180.0,1235.0,45.3,25.0,34.1,19.4,0.0,10.0,44,Partly cloudy,0,0,40.2,24.8,32.3,15.5,0.0,10.0,19,Sunny,0,0
2023-05-20,United Air Lines Inc.,19977,2191,ORD,"Chicago, IL",DEN,"Denver, CO",1431,1620,0.0,169.0,888.0,16.1,8.4,12.5,19.4,0.0,10.0,64,Partly cloudy,0,0,19.7,8.6,13.9,13.0,2.15,9.8,66,Patchy rain possible,100,0
